Accounting-Control-Number-Numéro-contrôle-comptable,Journal-Voucher-Type-Code-Code-du-type-de-pièce-de-journal,Fiscal-Year-Année-Fiscale,Journal-Voucher-Identifier-Identificateur-de-la-pièce-de-journal,Accounting-Effective-Date-Date-d'entrée-en-vigueur-comptable,DepartmentNumber-Numéro-de-Ministère,Fiscal-Month-Mois-Fiscal,Journal-Voucher-Item-Identifier-Identificateur-de-l'item-de-la-pièce-de-journal,Financial-Coding-Block-Bloc-de-codage-financier,Subleger-Account-Identifier-Compte-du-grand-livre-auxiliaire,Credit/Debit-Code-Code-Crédit/Débit,Journal-Voucher-Item-Amount-Montant-de-l'item-de-la-pièce-de-journal,Control-Data-Type-Type-de-données-de-contrôle,Accounting-Summary-Transaction-Line-Count-Sommaire-comptable-transaction-compte-ligne,GBS-Control-Number-Numéro-de-contrôle-du-SBG,General-Ledger-Account-Code-Code-du-compte-du-grand-livre-général
202532800022,ADEPT,2025/2026,,2025-11-21,014,08,1,,0147027,DR,486.12,COK,1,202532500162100,
202532800023,ADEPT,2025/2026,,2025-11-21,014,08,1,,0147029,DR,501.53,COK,1,202532500162101,
202532800024,ADEPT,2025/2026,,2025-11-21,014,08,1,,0147030,DR,887.54,COK,1,202532500162102,
202532800025,ADEPT,2025/2026,,2025-11-21,014,08,1,,0147031,DR,952.57,COK,3,202532500162103,
202532800026,ADEPT,2025/2026,,2025-11-21,014,08,1,,0147036,DR,792.05,COK,1,202532500162104,
202532800027,ADEPT,2025/2026,,2025-11-21,021,08,1,,0210409,DR,4436.24,COK,1,202532500162105,
202532800028,ADEPT,2025/2026,,2025-11-21,079,08,1,,0794225,DR,1452.58,COK,1,202532500162106,
202532800029,ADEPT,2025/2026,,2025-11-21,122,08,1,,1220581,DR,63.91,COK,1,202532500162125,
202532800030,ADEPT,2025/2026,,2025-11-21,122,08,1,,1221589,DR,193.28,COK,1,202532500162126,
202532800031,ADEPT,2025/2026,,2025-11-21,122,08,1,,1224394,DR,280.00,COK,1,202532500162127,
202532800032,ADEPT,2025/2026,,2025-11-21,122,08,1,,1224396,DR,280.00,COK,1,202532500162128,
202532800033,JVEFI,2025/2026,,2025-11-24,005,08,1,,0050050,DR,619.30,CMC,1,202532800162130,
202532800034,JVEFI,2025/2026,,2025-11-24,005,08,1,,0050054,CR,8581.51,CMC,2,202532800162131,
202532800035,JVEFI,2025/2026,,2025-11-24,018,08,1,,0180125,DR,1683.51,CMC,2,202532800162134,
202532800036,JVEFI,2025/2026,,2025-11-24,018,08,1,,0182182,DR,1438.97,CMC,1,202532800162135,
202532800037,JVEFI,2025/2026,,2025-11-24,018,08,1,,0182183,DR,573.80,CMC,1,202532800162136,
202532800038,JVEFI,2025/2026,,2025-11-24,018,08,1,,0182184,DR,4335.76,CMC,2,202532800162137,
202532800039,JVEFI,2025/2026,,2025-11-24,018,08,1,,0186451,DR,33049.11,CMC,1,202532800162140,
202532800040,JVEFI,2025/2026,,2025-11-24,018,08,1,,0189518,DR,789.29,CMC,1,202532800162141,
202532800041,JVEFI,2025/2026,,2025-11-24,018,08,1,,0189520,DR,2744.54,CMC,1,202532800162142,
202532800042,JVEFI,2025/2026,,2025-11-24,165,08,1,,1650165,CR,799.36,CMC,1,202532800162144,
202532800043,JVEFI,2025/2026,,2025-11-24,005,08,1,,0050054,DR,1180.05,CMC,2,202532800162131,
202532800044,JVEFI,2025/2026,,2025-11-24,018,08,1,,0182184,DR,1901.41,CMC,1,202532800162137,
202532800045,JVEFI,2025/2026,,2025-11-24,018,08,1,,0182481,DR,781.70,CMC,1,202532800162138,
202532800046,JVEFI,2025/2026,,2025-11-24,018,08,1,,0186369,DR,6745.81,CMC,2,202532800162139,
202532800047,JVEFI,2025/2026,,2025-11-24,165,08,1,,1651651,DR,675.58,CMC,1,202532800162145,
202532800048,JVFIR,2025/2026,,2025-11-24,097,08,1,,,DR,565452.80,JMT,1,202532800162143,
202532800049,JVFIR,2025/2026,,2025-11-24,097,08,1,,,DR,14082196.29,JMT,1,202532800162143,
202532800050,JVFIR,2025/2026,,2025-11-24,097,08,1,,,DR,3947026.61,JMT,1,202532800162143,
202532800051,JVIVI,2025/2026,,2025-11-24,006,08,1,,0060000,DR,8453.98,CMD,3,202532800162132,
202532800052,JVIVR,2025/2026,,2025-11-21,006,08,1,,0060000,DR,73.25,CMF,1,202532500162088,
202532800053,TDINT,2025/2026,,2025-11-21,006,08,1,,0060000,CR,810972.62,COQ,9,202532500162091,
202532800054,TI001,2025/2026,,2025-11-21,097,08,1,,,DR,1769911000.00,JOM,1,202532500162115,
202532800055,TI003,2025/2026,,2025-11-21,097,08,1,,,DR,1327434000.00,JOO,1,202532500162116,
202532800056,TI004,2025/2026,,2025-11-21,097,08,1,,,DR,1500000000.00,JOP,1,202532500162117,
202532800057,TI010,2025/2026,,2025-11-21,097,08,1,,,DR,1000000000.00,JOL,1,202532500162107,
202532800058,TI219,2025/2026,,2025-11-21,097,08,1,,,DR,194248000.00,JOS,2,202532500162118,
202532800059,TI815,2025/2026,,2025-11-21,097,08,1,,,DR,1419469000.00,JOT,2,202532500162119,
202532800060,TI999,2025/2026,,2025-11-21,097,08,1,,,DR,2138938000.00,JOY,3,202532500162120,
202532800061,TM003,2025/2026,,2025-11-21,097,08,1,,,DR,4000000000.00,JPG,2,202532500162122,
